Time (t),Velocity X (Vx),Velocity Y (Vy),Displacement X,Displacement Y
0,38.5673,45.9627,0,0
0.25,38.5673,43.5127,9.64181,10.8782
0.5,38.5673,41.0627,19.2836,21.1438
0.75,38.5673,38.6127,28.9254,30.797
1,38.5673,36.1627,38.5673,39.8377
1.25,38.5673,33.7127,48.2091,48.2658
1.5,38.5673,31.2627,57.8509,56.0815
1.75,38.5673,28.8127,67.4927,63.2847
2,38.5673,26.3627,77.1345,69.8753
2.25,38.5673,23.9127,86.7763,75.8535
2.5,38.5673,21.4627,96.4181,81.2192
2.75,38.5673,19.0127,106.06,85.9723
3,38.5673,16.5627,115.702,90.113
3.25,38.5673,14.1127,125.344,93.6412
3.5,38.5673,11.6627,134.985,96.5568
3.75,38.5673,9.21267,144.627,98.86
4,38.5673,6.76267,154.269,100.551
4.25,38.5673,4.31267,163.911,101.629
4.5,38.5673,1.86267,173.553,102.094
4.75,38.5673,-0.587333,183.194,101.948
5,38.5673,-3.03733,192.836,101.188
5.25,38.5673,-5.48733,202.478,99.8165
5.5,38.5673,-7.93733,212.12,97.8322
5.75,38.5673,-10.3873,221.762,95.2353
6,38.5673,-12.8373,231.404,92.026
6.25,38.5673,-15.2873,241.045,88.2042
6.5,38.5673,-17.7373,250.687,83.7698
6.75,38.5673,-20.1873,260.329,78.723
7,38.5673,-22.6373,269.971,73.0637
7.25,38.5673,-25.0873,279.613,66.7918
7.5,38.5673,-27.5373,289.254,59.9075
7.75,38.5673,-29.9873,298.896,52.4107
8,38.5673,-32.4373,308.538,44.3013
8.25,38.5673,-34.8873,318.18,35.5795
8.5,38.5673,-37.3373,327.822,26.2452
8.75,38.5673,-39.7873,337.463,16.2983
9,38.5673,-42.2373,347.105,5.739
9.25,38.5673,-44.6873,356.747,-5.43283
